2025-12-30 16:27:20.392 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [xw.szbz.cn.util.PromptTemplateUtilTest]: PromptTemplateUtilTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-12-30 16:27:20.392 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration xw.szbz.cn.SzbzApiApplication for test class xw.szbz.cn.util.PromptTemplateUtilTest
2025-12-30 16:27:20.463 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [xw.szbz.cn.controller.BaZiControllerTest]: BaZiControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-12-30 16:27:20.471 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration xw.szbz.cn.SzbzApiApplication for test class xw.szbz.cn.controller.BaZiControllerTest
2025-12-30 16:27:20.484 [main] INFO  xw.szbz.cn.controller.BaZiControllerTest - Starting BaZiControllerTest using Java 17.0.17 with PID 33897 (started by wang in /Users/wang/Documents/cursor_demo/szbz/szbz)
2025-12-30 16:27:20.485 [main] INFO  xw.szbz.cn.controller.BaZiControllerTest - No active profile set, falling back to 1 default profile: "default"
2025-12-30 16:27:20.594 [main] INFO  o.s.b.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2025-12-30 16:27:20.594 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2025-12-30 16:27:20.594 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 0 ms
2025-12-30 16:27:20.598 [main] INFO  xw.szbz.cn.controller.BaZiControllerTest - Started BaZiControllerTest in 0.124 seconds (process running for 1.725)
2025-12-30 16:27:20.868 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [xw.szbz.cn.SecurityIntegrationTest]: SecurityIntegrationTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-12-30 16:27:20.869 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration xw.szbz.cn.SzbzApiApplication for test class xw.szbz.cn.SecurityIntegrationTest
